city,price
اسالم,1465761.5384615385
اصفهان,1792750.6361323155
بابلسر,2024224.1896551724
بندرانزلی,2388750.642673522
رامسر,2444679.5857988168
رشت,1294735.9307359308
ساری,1473452.9914529915
سرخرود,3870900.763358779
سوادکوه,1864528.3018867923
شیراز,1864958.5714285716
شیرگاه,1549953.6082474226
تالش,1380337.5796178344
تبریز,1861934.5794392524
تنکابن,2184685.8638743456
تهران,2418762.8112648223
فومن,1415280.8510638298
قشم,1658527.2727272727
قم,986118.6440677966
لاهیجان,1270546.762589928
نوشهر,2676740.932642487
ماسال,1561702.4279210926
محمودآباد,2192989.898989899
مشهد,1992508.1229418225
متل قو,3022040.0
کاشان,2259042.505592841
کردان,3547904.6153846155
کلاردشت,2280338.582677165
کیش,2443270.110701107
گرگان,1210728.9719626168
چالوس,2300320.1581027666
یزد,1348507.8299776283
