city,price
اسالم,1429712.871287129
اصفهان,1447989.816700611
بابلسر,1706401.8264840182
بندرانزلی,2072746.4577656675
رامسر,2472241.989881956
رشت,1319502.3148148148
ساری,1343808.6956521738
سرخرود,3109761.5384615385
سوادکوه,1361504.2735042735
شیراز,1752045.8248472505
شیرگاه,1450084.2105263155
تالش/هشتپر,1422282.700421941
تبریز,1874632.9113924047
تنکابن/شهسوار,1828049.8338870432
تهران,2327454.861111111
فومن,1272292.5925925926
قشم,1258655.8093023256
قم,1124217.8217821782
لاهیجان,1522510.6382978724
نوشهر,2603975.9450171823
ماسال,1416923.9515706806
محمودآباد,2491865.5462184874
مشهد,1507601.5037593986
متل قو,3077066.9456066946
کاشان,1684243.0379746836
کردان,3779066.6666666665
کلاردشت,2473719.4570135744
کیش,1739177.8846153845
گرگان,1321571.4285714286
چالوس,2320822.0551378448
یزد,1186111.111111111
