city,price
آتشگاه,2830000.0
آران و بیدگل,1667647.0588235294
آستانه اشرفیه,1122777.7777777778
ابوزیدآباد,1175000.0
اسالم,1193112.0
اسکو,1672500.0
اصفهان,1572987.525987526
املش,1413051.282051282
انزلی,2018371.0073710075
اولسبلنگاه,1589000.0
ایزدشهر,2415319.14893617
بابلسر,1454807.6923076923
باغ بهادران,1844482.7586206896
برزک,908333.3333333334
برغان,1000000.0
بندر ترکمن,1278571.4285714286
بندر گز,1242000.0
بهارستان,1598000.0
تالش,1363920.9486166008
تبریز,1931842.105263158
تفرش,1163750.0
تهران,2654266.265060241
جواهرده,1921147.0588235294
جویبار,1500000.0
خمام,1131142.857142857
درگهان,1108000.0
دریاکنار,2641052.6315789474
دستجرد,3080000.0
دوهزارشهسوار,2054285.7142857143
رامسر,2108484.2931937175
رستم آباد,1234166.6666666667
رستم رود,2345652.1739130435
رشت,1313144.1048034935
رضوانشهر,1269927.7566539925
رودبار,1171666.6666666667
زیارت,1584375.0
زیبا کنار,1699611.7647058824
ساری,1379582.0895522388
سرخ رود,3184434.285714286
سرولات,1905000.0
سنگر,1170139.240506329
سه هزار شهسوار ,2748333.3333333335
سهیلیه,2846564.2994241845
سوادکوه,1474695.0672645739
سوباتان,1350000.0
شاندیز,1654000.0
شاهین شهر,1350000.0
شفت,1764242.4242424243
شهسوار,1612646.017699115
شیراز,1808874.5454545454
شیرود,2209795.9183673467
شیرگاه,1482911.214953271
صدرا,1250000.0
صومعه‌سرا,1403105.2631578948
طرقبه,1232142.857142857
عباس آباد,2805904.761904762
علی آباد کتول,1155561.224489796
فرح آباد,3801861.111111111
فریدون کنار,1456000.0
فومن,1104543.352601156
قائمشهر,1194727.2727272727
قشم,1480078.0141843972
قلعه‌رودخان ,1593342.857142857
قم,958202.7027027027
قمصر,1015555.5555555555
لاهیجان,1311295.154185022
لشت نشاء,885900.0
لفور,1558351.3513513512
لنگرود,1115000.0
لیسار,1242391.3043478262
ماسال,1357473.9010989012
ماهدشت,2511290.3225806453
متل قو,2462315.789473684
محمودآباد,2091743.6974789917
مرزن آباد,1560000.0
مشهد,1372621.513944223
نشتارود,1959411.7647058824
نمک آبرود,2767058.8235294116
نوشهر,2632629.96941896
نکا ,890000.0
نیاسر,1155000.0
هشتگرد,2814285.714285714
هچیرود,2643166.6666666665
پردیس,1633333.3333333333
پرند,1500000.0
پره‌سر,1518510.6382978724
چابکسر,1546323.8095238095
چادگان,1514285.7142857143
چالوس,1998204.255319149
کاشان,1741556.4516129033
کتالم,2409187.5
کردان,3282554.054054054
کردکوی,1337500.0
کلارآباد,1978151.5151515151
کلاردشت,2278829.6296296297
کلاچای,1068024.3902439023
کمال شهر,3327142.8571428573
کندوان,1025652.1739130435
کوهسار,2810227.272727273
کوچصفهان,1055714.2857142857
کیاسر,842857.1428571428
کیش,2119314.285714286
گرمدره,1500000.0
گرگان,1273782.608695652
یزد,1213594.972067039
