city,price
اسالم,1000000.0
اصفهان,1478000.0
بابلسر,1579786.1635220123
بندرانزلی,1996664.6341463411
رامسر,2283726.8292682925
رشت,1123266.2337662338
ساری,1403153.8461538462
سرخرود,3145160.583941606
سوادکوه,1457798.5865724382
شیراز,1627077.1812080536
شیرگاه,1457798.5865724382
تالش/هشتپر,1364778.523489933
تبریز,2410444.4444444445
تنکابن/شهسوار,1685341.463414634
تهران,2430952.2752497224
فومن,1406937.5
قشم,1287251.6129032257
قم,1017540.9836065574
لاهیجان,1254858.4905660378
نوشهر,2432684.9315068494
ماسال,1359818.75
محمودآباد,2269595.744680851
مشهد,1431562.6740947077
متل قو,2823861.111111111
کاشان,1650026.1437908495
کردان,3042500.872600349
کلاردشت,2286105.882352941
کیش,1889925.0
گرگان,1034731.7073170732
چالوس,2125692.3076923075
یزد,1126191.256830601
