city,price
سرخرود,3870900.763358779
کردان,3547904.6153846155
نوشهر,2676740.932642487
رامسر,2444679.5857988168
کیش,2443270.110701107
تهران,2418762.8112648223
بندرانزلی,2388750.642673522
چالوس,2300320.1581027666
کلاردشت,2280338.582677165
کاشان,2259042.505592841
محمودآباد,2192989.898989899
بابلسر,2024224.1896551724
مشهد,1992508.1229418225
شیراز,1864958.5714285716
سوادکوه,1864528.3018867923
تبریز,1861934.5794392524
اصفهان,1792750.6361323155
قشم,1658527.2727272727
ماسال,1561702.4279210926
شیرگاه,1549953.6082474226
ساری,1473452.9914529915
اسالم,1465761.5384615385
فومن,1415280.8510638298
یزد,1348507.8299776283
رشت,1294735.9307359308
لاهیجان,1270546.762589928
گرگان,1210728.9719626168
قم,986118.6440677966
متل قو,3022040.0
تالش/هشتپر,1380337.5796178344
تنکابن/شهسوار,2184685.8638743456

