city,price
کردان,3779066.6666666665
سرخرود,3109761.5384615385
متل قو,3077066.9456066946
نوشهر,2603975.9450171823
محمودآباد,2491865.5462184874
کلاردشت,2473719.4570135744
رامسر,2472241.989881956
تهران,2327454.861111111
چالوس,2320822.0551378448
تبریز,1874632.9113924047
شیراز,1752045.8248472505
کیش,1739177.8846153845
بابلسر,1706401.8264840182
کاشان,1684243.0379746836
لاهیجان,1522510.6382978724
مشهد,1507601.5037593986
شیرگاه,1450084.2105263155
اصفهان,1447989.816700611
اسالم,1429712.871287129
ماسال,1416923.9515706806
سوادکوه,1361504.2735042735
ساری,1343808.6956521738
گرگان,1321571.4285714286
رشت,1319502.3148148148
فومن,1272292.5925925926
قشم,1258655.8093023256
یزد,1186111.111111111
قم,1124217.8217821782
بندرانزلی,2072746.4577656675
تنکابن/شهسوار,1828049.8338870432
تالش/هشتپر,1422282.700421941

