city,price
اسالم,1200000.0
اصفهان,1350000.0
بابلسر,1500000.0
بندرانزلی,1600000.0
تبریز,1400000.0
تنکابن,1400000.0
تهران,1950000.0
رامسر,1699000.0
رشت,1000000.0
ساری,1200000.0
سرخرود,3300000.0
سلمان شهر,2500000.0
سوادکوه,1400000.0
شیراز,1600000.0
شیرگاه,1300000.0
فومن,1100000.0
قشم,1445000.0
قم,700000.0
لاهیجان,1000000.0
ماسال,1200000.0
محمودآباد,2000000.0
مشهد,1350000.0
نوشهر,2150000.0
هشتپر (تالش),1000000.0
چالوس,1500000.0
کاشان,1950000.0
کردان,2990000.0
کلاردشت,1850000.0
کیش,1900000.0
گرگان,950000.0
یزد,1090000.0
