city,price
اسالم,1100000.0
اصفهان,1200000.0
بابلسر,1300000.0
بندرانزلی,1500000.0
رامسر,1650000.0
رشت,1000000.0
ساری,1000000.0
سرخرود,2800000.0
سوادکوه,1200000.0
شیراز,1500000.0
شیرگاه,1200000.0
تالش/هشتپر,1200000.0
تبریز,1650000.0
تنکابن/شهسوار,1500000.0
تهران,1860000.0
فومن,1000000.0
قشم,890000.0
قم,900000.0
لاهیجان,1125000.0
نوشهر,1990000.0
ماسال,1200000.0
محمودآباد,2275000.0
مشهد,1200000.0
متل قو,2500000.0
کاشان,1100000.0
کردان,2900000.0
کلاردشت,1980000.0
کیش,1175000.0
گرگان,900000.0
چالوس,1690000.0
یزد,950000.0
