city,price
آتشگاه,2990000.0
آران و بیدگل,1540000.0
آستانه اشرفیه,900000.0
ابوزیدآباد,1000000.0
اسالم,1000000.0
اسکو,1600000.0
اصفهان,1200000.0
املش,800000.0
انزلی,1500000.0
اولسبلنگاه,1325000.0
ایزدشهر,2000000.0
بابلسر,1200000.0
باغ بهادران,1750000.0
برزک,800000.0
برغان,1040000.0
بندر ترکمن,1150000.0
بندر گز,1000000.0
بهارستان,1200000.0
تالش,1000000.0
تبریز,1600000.0
تفرش,1200000.0
تهران,2000000.0
جواهرده,1750000.0
جویبار,1500000.0
خمام,800000.0
درگهان,1075000.0
دریاکنار,2750000.0
دستجرد,3175000.0
دوهزارشهسوار,2000000.0
رامسر,1500000.0
رستم آباد,1000000.0
رستم رود,1700000.0
رشت,1100000.0
رضوانشهر,1000000.0
رودبار,1000000.0
زیارت,1245000.0
زیبا کنار,1300000.0
ساری,1200000.0
سرخ رود,2700000.0
سرولات,1450000.0
سنگر,900000.0
سه هزار شهسوار ,2725000.0
سهیلیه,2500000.0
سوادکوه,1200000.0
سوباتان,1250000.0
شاندیز,1500000.0
شاهین شهر,1100000.0
شفت,1300000.0
شهسوار,1200000.0
شیراز,1500000.0
شیرود,1800000.0
شیرگاه,1200000.0
صدرا,1100000.0
صومعه‌سرا,1050000.0
طرقبه,1200000.0
عباس آباد,1875000.0
علی آباد کتول,1000000.0
فرح آباد,1200000.0
فریدون کنار,1178000.0
فومن,900000.0
قائمشهر,1000000.0
قشم,1200000.0
قلعه‌رودخان ,1300000.0
قم,750000.0
قمصر,800000.0
لاهیجان,1000000.0
لشت نشاء,680000.0
لفور,1500000.0
لنگرود,900000.0
لیسار,1090000.0
ماسال,1000000.0
ماهدشت,2500000.0
متل قو,1900000.0
محمودآباد,1600000.0
مرزن آباد,1050000.0
مشهد,1150000.0
نشتارود,1500000.0
نمک آبرود,2000000.0
نوشهر,1900000.0
نکا ,900000.0
نیاسر,1050000.0
هشتگرد,2650000.0
هچیرود,2050000.0
پردیس,1600000.0
پرند,1500000.0
پره‌سر,1150000.0
چابکسر,1100000.0
چادگان,1500000.0
چالوس,1500000.0
کاشان,1200000.0
کتالم,1500000.0
کردان,2500000.0
کردکوی,1500000.0
کلارآباد,1500000.0
کلاردشت,1880000.0
کلاچای,800000.0
کمال شهر,2900000.0
کندوان,900000.0
کوهسار,2500000.0
کوچصفهان,800000.0
کیاسر,600000.0
کیش,1400000.0
گرمدره,1500000.0
گرگان,1000000.0
یزد,899000.0
