city,price
اسالم,1000000.0
اصفهان,1200000.0
بابلسر,1200000.0
بندرانزلی,1500000.0
رامسر,1600000.0
رشت,960000.0
ساری,1150000.0
سرخرود,2850000.0
سوادکوه,1200000.0
شیراز,1500000.0
شیرگاه,1200000.0
تالش/هشتپر,1000000.0
تبریز,2000000.0
تنکابن/شهسوار,1300000.0
تهران,2000000.0
فومن,934500.0
قشم,1200000.0
قم,800000.0
لاهیجان,990000.0
نوشهر,1600000.0
ماسال,1199500.0
محمودآباد,2000000.0
مشهد,1190000.0
متل قور,2300000.0
کاشان,1125000.0
کردان,2500000.0
کلاردشت,1690000.0
کیش,1075000.0
گرگان,850000.0
چالوس,1525000.0
یزد,950000.0
