city,price
کردان,2500000.0
تهران,2000000.0
نوشهر,1900000.0
متل قو,1900000.0
کلاردشت,1880000.0
تبریز,1600000.0
محمودآباد,1600000.0
رامسر,1500000.0
چالوس,1500000.0
شیراز,1500000.0
کیش,1400000.0
اصفهان,1200000.0
کاشان,1200000.0
قشم,1200000.0
شیرگاه,1200000.0
سوادکوه,1200000.0
ساری,1200000.0
بابلسر,1200000.0
مشهد,1150000.0
رشت,1100000.0
لاهیجان,1000000.0
ماسال,1000000.0
گرگان,1000000.0
اسالم,1000000.0
فومن,900000.0
یزد,899000.0
قم,750000.0
انزلی,1500000.0
تالش/هشتپر,1000000.0
سرخرود,2700000.0
تنکابن/شهسوار,1200000.0
