city,overall_rate
اسالم,2.1338461538461537
اصفهان,2.313740458015267
بابلسر,2.21896551724138
بندرانزلی,2.1187660668380466
رامسر,2.398076923076923
رشت,2.692207792207792
ساری,2.5905982905982907
سرخرود,1.8083969465648853
سوادکوه,1.9415094339622645
شیراز,1.899183673469388
شیرگاه,2.237628865979381
تالش,2.319108280254777
تبریز,2.019626168224299
تنکابن,1.9518324607329844
تهران,2.174110671936759
فومن,2.311914893617021
قشم,2.1196363636363635
قم,1.821186440677966
لاهیجان,2.901438848920864
نوشهر,2.0082901554404144
ماسال,2.3034901365705616
محمودآباد,2.485858585858586
مشهد,1.7273326015367727
متل قو,2.393
کاشان,1.8404921700223715
کردان,2.6664615384615384
کلاردشت,2.0165354330708665
کیش,1.9649446494464944
گرگان,2.993457943925234
چالوس,2.759683794466403
یزد,1.8736017897091723
