city,overall_rate
بهاباد,5.0
کهک,5.0
بندر لنگه,5.0
بیجار,5.0
شیروان,5.0
ایرانشهر,5.0
لارستان,5.0
جم,4.95
دشتی,4.9
تفرش,4.883333333333334
بانه,4.88
چادگان,4.8500000000000005
میانه,4.85
جهرم,4.84
کوهدشت,4.8
زاهدان,4.8
بندر ماهشهر,4.8
شبستر,4.8
کوثر,4.8
فریمان,4.8
سیرجان,4.8
برخوار,4.8
چیتاب,4.8
قروه,4.779999999999999
بروجرد,4.775
قلات,4.775
جاسک,4.775
رفسنجان,4.75
پاسارگاد,4.75
سقالکسار,4.74
طبس,4.7375
دورود,4.7250000000000005
فردوس,4.720000000000001
نمین,4.7125
اراک,4.70909090909091
شازند,4.7
دیر,4.7
قمصر,4.7
سروآباد,4.7
بافت,4.699999999999999
مشکین‌دشت,4.699999999999999
فردیس,4.6899999999999995
پالنگان,4.688888888888889
کازرون,4.666666666666667
آبیک,4.666666666666667
استخرگاه,4.664705882352941
گنبد کاووس,4.633333333333334
افراتخته,4.623529411764705
خدابنده,4.6
ازنا,4.6
شالما,4.596774193548387
اورامان تخت,4.596296296296296
درگز,4.58
مهاباد,4.575
جوارم,4.574074074074074
سلین,4.571428571428571
خمین,4.55
اولسبلنگاه,4.535714285714286
ملایر,4.5200000000000005
هرسین,4.5200000000000005
پاکدشت,4.5200000000000005
رینه لاریجان,4.5125
بم,4.5125
ارسنجان,4.5
شهر بابک,4.5
الموت,4.451351351351351
اسکو,4.45
خوانسار,4.442105263157895
کندوان,4.431707317073171
سرعین,4.430000000000001
گردنه حیران,4.427272727272727
مسجد سلیمان,4.4
ری,4.4
کنارک,4.35
اقلید,4.35
لاویج,4.325
مرودشت,4.3149999999999995
اردستان,4.3100000000000005
دستجرد,4.3
خوی,4.3
شوش,4.3
کرمانشاه,4.285714285714286
آلاشت,4.266666666666667
طاسکوه,4.25921052631579
مریوان,4.259090909090909
حلیمه جان,4.246666666666667
فیروزکوه,4.246511627906977
طالقان,4.2272727272727275
ورمیه,4.216883116883117
نطنز,4.214285714285714
جلفا,4.182608695652174
بروجن,4.175
فشم,4.1695652173913045
سمنان,4.166666666666667
الیگودرز,4.14
خلخال,4.138888888888889
تفت,4.125
ماکو,4.122222222222223
محلات,4.121428571428572
شوشتر,4.121428571428572
ماسوله,4.117808219178083
جاده اسالم,4.115492957746478
همدان,4.1020408163265305
زیارت,4.1
لفور,4.087958115183246
آبسرد,4.077777777777778
هجیج,4.076923076923077
استانبول,4.069230769230769
تکاب,4.057142857142857
سی‌سخت,4.053846153846154
فیلبند,4.046610169491525
کرمان,4.046511627906977
شمشک,4.042105263157895
عسلویه,4.033333333333333
میبد,4.030769230769231
کیاشهر,4.0017543859649125
خزرشهر,4.0
سپیدان,4.0
فرح آباد,3.9950980392156863
شاهرود,3.985294117647059
تنگستان,3.9846153846153842
ساوجبلاغ,3.972972972972973
سراوان,3.9728155339805826
