city,overall_rate
اسالم,2.26568
اصفهان,3.251081081081081
بابلسر,2.924423076923077
بندرانزلی,2.8435872235872237
رامسر,2.9485994764397905
رشت,3.063886462882096
ساری,3.0711940298507465
سرخرود,2.6986857142857144
سوادکوه,2.8448878923766814
شیراز,2.8791272727272728
شیرگاه,3.251214953271028
تالش/هشتپر,2.911462450592885
تبریز,2.5852631578947367
تنکابن/شهسوار,2.602566371681416
تهران,3.0469879518072287
فومن,2.88635838150289
قشم,3.0631914893617025
قم,3.598243243243243
لاهیجان,2.5433039647577096
نوشهر,3.072507645259939
ماسال,2.8797115384615384
محمودآباد,3.1781932773109243
مشهد,3.093366533864541
متل قو,3.195263157894737
کاشان,2.789758064516129
کردان,3.5520945945945948
کلاردشت,2.602666666666667
کیش,2.7943809523809526
گرگان,3.0158260869565217
چالوس,3.417553191489361
یزد,3.0771229050279327
