city,overall_rate
اسالم,4.69
اصفهان,4.105586419753086
بابلسر,3.8391823899371063
بندرانزلی,4.315121951219512
رامسر,4.267414634146341
رشت,4.1859740259740255
ساری,4.079145299145299
سرخرود,4.45043795620438
سوادکوه,4.205795053003533
شیراز,3.987852348993289
شیرگاه,4.205795053003533
تالش/هشتپر,4.369093959731544
تبریز,4.0968888888888895
تنکابن/شهسوار,4.344573170731708
تهران,3.456448390677026
فومن,4.504204545454545
قشم,4.043354838709678
قم,3.740491803278689
لاهیجان,4.295566037735849
نوشهر,3.815205479452055
ماسال,4.389833333333333
محمودآباد,4.159095744680851
مشهد,3.747298050139276
متل قو,4.426111111111111
کاشان,3.787516339869281
کردان,4.295026178010471
کلاردشت,4.291647058823529
کیش,4.329625
گرگان,4.289024390243903
چالوس,4.313538461538461
یزد,4.021256830601093
