city,overall_rate
بندر لنگه,5.0
کهک,5.0
لارستان,5.0
بیجار,5.0
بهاباد,5.0
ایرانشهر,5.0
شیروان,5.0
قروه,5.0
گرمدره,4.95
اردکان,4.95
جم,4.95
دشتی,4.9
تفرش,4.9
اورامان تخت,4.9
نطنز,4.9
جهرم,4.9
نمین,4.9
جاسک,4.9
روانسر,4.9
سراگاه,4.9
اردل,4.9
بانه,4.9
بروجن,4.85
میانه,4.85
قلات,4.85
چادگان,4.85
کازرون,4.85
پاسارگاد,4.85
سی‌سخت,4.85
دورود,4.800000000000001
تکاب,4.8
پالنگان,4.8
نایین,4.8
بندر ماهشهر,4.8
نیر,4.8
ورمیه,4.8
میبد,4.8
جنگل دالخانی,4.8
جوارم,4.8
شالما,4.8
سیرجان,4.8
شوشتر,4.8
سنندج,4.8
طاسکوه,4.8
طبس,4.8
فردوس,4.8
فریمان,4.8
زاهدان,4.8
رفسنجان,4.8
رباط‌کریم,4.8
دلیجان,4.8
بروجرد,4.8
خلخال,4.8
مریوان,4.8
خوی,4.8
شبستر,4.8
گردنه حیران,4.8
آلاشت,4.8
املش,4.8
کویر مصر - خور و بیابانک,4.8
اراک,4.8
چیتاب,4.8
الموت,4.8
کوهدشت,4.8
ابوزیدآباد,4.8
افراتخته,4.8
گرمسار,4.8
اردستان,4.8
استخرگاه,4.8
برخوار,4.8
آبیک,4.8
گلپایگان,4.8
استانبول,4.8
اسکو,4.75
جاده ماسوله,4.75
کوثر,4.75
مشگین‌شهر,4.75
دیزین (آسارا),4.75
رامسر,4.7
اسالم,4.7
رودبار,4.7
کندوان,4.7
پاکدشت,4.7
لفور,4.7
رستم آباد,4.7
لنگرود,4.7
دیر,4.7
قمصر,4.7
پاوه,4.7
قائم شهر,4.7
فیروزکوه,4.7
شاهرود,4.7
شاندرمن,4.7
گیسوم,4.7
شازند,4.7
گنبد کاووس,4.7
سیاهکل,4.7
سپیدان,4.7
سمنان,4.7
شیرگاه,4.7
سقالکسار,4.7
سرولات,4.7
سروآباد,4.7
طالقان,4.7
سراوان,4.7
ساوه,4.7
فردیس,4.7
زیرآب,4.7
لواسان,4.7
فلاورجان,4.7
درگز,4.7
لاویج,4.7
سوادکوه,4.7
جوانرود,4.7
تنکابن,4.7
هجیج,4.7
نظرآباد,4.7
تنگستان,4.7
کاشان,4.7
بهشهر,4.7
مینودشت,4.7
شهرضا,4.7
بندر گز,4.7
چمستان,4.7
بابلکنار,4.7
چابکسر,4.7
کرمانشاه,4.7
ماسال,4.7
خمام,4.7
ملارد,4.7
خوانسار,4.7
مرزن آباد,4.7
ماسوله,4.7
پارسیان,4.7
بجنورد,4.7
بندر ترکمن,4.7
رینه لاریجان,4.699999999999999
بوئین‌زهرا,4.699999999999999
بافت,4.699999999999999
گلوگاه,4.699999999999999
مشکین‌دشت,4.699999999999999
شهرکرد,4.65
هرمز,4.65
بندر عباس,4.65
بهار,4.65
بابل,4.65
سوباتان,4.65
فرح آباد,4.65
تفت,4.65
دره‌شهر,4.65
کلاچای,4.65
مهاباد,4.65
کلارآباد,4.65
زنجان,4.65
نمک آبرود,4.6
قلعه رودخان,4.6
شیراز,4.6
گناوه,4.6
مهدی‌شهر,4.6
پل سفید,4.6
کلاردشت,4.6
قشم,4.6
لاهیجان,4.6
شهریار,4.6
ماکو,4.6
کرج,4.6
کیاشهر,4.6
لیسار,4.6
شیرود,4.6
کبودرآهنگ,4.6
نشتارود,4.6
فیلبند,4.6
همدان,4.6
صومعه‌سرا,4.6
فشم,4.6
گرگان,4.6
عسلویه,4.6
چالوس,4.6
نیشابور,4.6
علی آباد,4.6
چمخاله,4.6
کلیبر,4.6
یزد,4.6
اصفهان,4.6
اولسبلنگاه,4.6
دیلم,4.6
ساوجبلاغ,4.6
دامغان,4.6
ساری,4.6
جویبار,4.6
جواهرده,4.6
ایذه,4.6
رشت,4.6
جلفا,4.6
رویان,4.6
ایلام,4.6
رامیان,4.6
بندر انزلی,4.6
بوشهر,4.6
اشکورات,4.6
جاده اسالم,4.6
ازنا,4.6
حلیمه جان,4.6
خدابنده,4.6
سرعین,4.6
خرم‌آباد,4.6
اردبیل,4.6
سلین,4.6
تهران,4.6
سرخرود,4.6
سهیلیه,4.6
ابیانه,4.6
آستارا,4.6
جزیره هنگام,4.55
خمین,4.55
ماهدشت,4.55
زیارت,4.55
آستانه اشرفیه,4.55
اربه کله,4.55
کنگان,4.55
شمشک,4.5
مهریز,4.5
مرودشت,4.5
نهاوند,4.5
چهارباغ,4.5
نور,4.5
تالش,4.5
هرسین,4.5
بم,4.5
باغ بهادران,4.5
محمدشهر,4.5
کامیاران,4.5
کردان,4.5
کرمان,4.5
ارومیه,4.5
کوهرنگ,4.5
ارسنجان,4.5
کیش,4.5
آبسرد,4.5
یاسوج,4.5
محمودآباد,4.5
نجف‌آباد,4.5
محلات,4.5
سردشت,4.5
قم,4.5
دماوند,4.5
متل قو,4.5
رودسر,4.5
فومن,4.5
دیلمان,4.5
فریدون کنار,4.5
شهر بابک,4.5
سامان,4.45
کوچصفهان,4.45
رودهن,4.45
نکا,4.449999999999999
باغ‌ملک,4.449999999999999
شاندیز طرقبه,4.4
قزوین,4.4
شفت,4.4
رضوانشهر,4.4
پردیس,4.4
عباس آباد,4.4
سمیرم,4.4
کلاله,4.4
ری,4.4
زیباکنار,4.4
کوهسار,4.4
امامزاده ابراهیم شفت,4.4
کردکوی,4.4
بابلسر,4.4
آبادان,4.4
ملایر,4.4
مسجد سلیمان,4.4
نوشهر,4.4
تبریز,4.4
تربت حیدریه,4.4
اقلید,4.35
کلات,4.35
کنارک,4.35
دریاکنار,4.35
دزفول,4.35
نی‌ریز,4.3
مشهد,4.3
شوش,4.3
دستجرد,4.3
الیگودرز,4.3
چابهار,4.3
آمل,4.25
اهواز,4.25
درگهان,4.2
بندر خمیر,4.2
مانه و سملقان,4.1
جاده چالوس,4.1
بردسیر,4.0
خزرشهر,4.0
بیله‌سوار,3.95
چناران,3.95
کویر مرنجاب,3.9
ایزدشهر,3.75
بناب,3.0
تنکمان,2.5
آزادشهر,2.45
شمیرانات,2.45
قروق,2.4
مراغه,2.2
ورامین,2.15
سلسله,0.0
ورزنه,0.0
بوکان,0.0
آران و بیدگل,0.0
صحنه,0.0
خمینی‌شهر,0.0
آباده,0.0
سرخه,0.0
ابرکوه,0.0
بوانات,0.0
هشتگرد,0.0
شاهین شهر,0.0
خواف,0.0
استهبان,0.0
دالاهو,0.0
سرایان,0.0
جاجرم,0.0
ایوان,0.0
کاشمر,0.0
لردگان,0.0
تیران و کرون,0.0
لامرد,0.0
لنجان,0.0
پیشوا,0.0
بردسکن,0.0
فارسان,0.0
سبزوار,0.0
قائنات,0.0
اسلام‌آباد غرب,0.0
اسفراین,0.0
اسدآباد,0.0
فریدن,0.0
