city,overall_rate
آتشگاه,5.0
شاهین شهر,4.92
نیاسر,4.915
کندوان,4.86
کیاسر,4.85
کلاچای,4.83
پره‌سر,4.83
پرند,4.8
املش,4.78
نمک آبرود,4.779999999999999
قمصر,4.76
اسکو,4.74
لنگرود,4.74
برغان,4.73
هچیرود,4.725
آستانه اشرفیه,4.715
بندر ترکمن,4.71
سرولات,4.6850000000000005
بهارستان,4.67
لیسار,4.67
چالوس,4.67
قائمشهر,4.67
اولسبلنگاه,4.665
متل قو,4.66
شیرگاه,4.66
کردان,4.65
جواهرده,4.640000000000001
سوادکوه,4.59
فرح آباد,4.58
رستم آباد,4.58
قشم,4.57
صدرا,4.56
تالش,4.56
ماسال,4.555
قلعه‌رودخان ,4.55
رامسر,4.55
رشت,4.54
هشتگرد,4.54
ماهدشت,4.54
محمودآباد,4.539999999999999
چابکسر,4.53
ساری,4.53
سهیلیه,4.53
کمال شهر,4.51
لفور,4.5
یزد,4.5
برزک,4.48
لشت نشاء,4.470000000000001
خمام,4.47
طرقبه,4.455
نوشهر,4.44
شفت,4.4399999999999995
کاشان,4.43
آران و بیدگل,4.43
اصفهان,4.43
باغ بهادران,4.42
قم,4.41
مرزن آباد,4.41
کوچصفهان,4.41
بابلسر,4.4
انزلی,4.4
تهران,4.4
فومن,4.39
پردیس,4.38
شیرود,4.38
درگهان,4.335000000000001
سرخ رود,4.26
گرگان,4.25
رستم رود,4.25
فریدون کنار,4.24
کیش,4.234999999999999
صومعه‌سرا,4.225
شیراز,4.225
کوهسار,4.215
مشهد,4.215
شهسوار,4.17
زیارت,4.125
علی آباد کتول,4.12
کلارآباد,4.07
بندر گز,4.055
زیبا کنار,4.03
گرمدره,4.0
عباس آباد,3.96
کلاردشت,3.92
لاهیجان,3.91
رودبار,3.88
تبریز,3.86
کردکوی,3.82
ایزدشهر,3.67
شاندیز,3.67
نشتارود,3.665
رضوانشهر,3.07
جویبار,2.5
نکا ,2.105
سوباتان,2.1
ابوزیدآباد,0.0
دستجرد,0.0
کتالم,0.0
اسالم,0.0
دریاکنار,0.0
چادگان,0.0
تفرش,0.0
سه هزار شهسوار ,0.0
سنگر,0.0
دوهزارشهسوار,0.0
