city,overall_rate
بدره,5.0
اردکان,5.0
تفت,5.0
مرند,5.0
ایجرود,5.0
تفرش,5.0
لامرد,5.0
جم,5.0
کوهدشت,5.0
بردسکن,5.0
خشک بیجار,5.0
بافق,5.0
صفاشهر,5.0
مراغه,5.0
شاهین دژ,5.0
گوهردشت,5.0
نی ریز,5.0
شهداد,5.0
شاهدیه,5.0
نهاوند,5.0
رفسنجان,4.965
جوانرود,4.955
اسدآباد,4.9399999999999995
تودشک,4.9350000000000005
خدابنده,4.93
بندر گز,4.925000000000001
حاجی آباد,4.925
کلاچای,4.91
ری,4.9
مشکین دشت,4.9
ابرکوه,4.9
کامیاران,4.9
کبودر اهنگ,4.885
اسکو,4.880000000000001
کردکوی,4.87
بابک,4.87
کازرون,4.87
خمینی شهر,4.87
نجف آباد,4.865
دورود,4.86
بوئین زهرا,4.855
نیشابور,4.855
دره شهر,4.85
شفت,4.85
دلیجان,4.84
لشت نشا,4.84
پارسیان,4.824999999999999
سمیرم,4.82
مینو دشت,4.8149999999999995
شیروان,4.8
بختگان,4.8
هشترود,4.8
قروه,4.8
تربت حیدریه,4.8
پاوه,4.8
املش,4.8
سپیدان,4.8
خور و بیابانک,4.8
دامغان,4.8
نقده,4.8
بندر ماهشهر,4.8
بندر لنگه,4.8
روانسر,4.8
سرخه,4.8
بشرویه,4.8
مراوه تپه,4.8
نشتارود,4.765000000000001
پاسارگاد,4.765000000000001
مریوان,4.76
جزیره هنگام,4.76
بومهن,4.76
فلاورجان,4.75
ازنا,4.75
خرمشهر,4.75
اقلید,4.75
خلخال,4.74
مهاباد,4.74
سبزوار,4.734999999999999
صحنه,4.73
سیاهکل,4.73
بندر ترکمن,4.73
خمام,4.73
فومن,4.725
لنگرود,4.720000000000001
سی سنگان,4.72
چادگان,4.72
ایزدشهر,4.71
بندر کیاشهر,4.7
فریدون شهر,4.7
کلاردشت,4.7
ورزنه,4.7
کندوان,4.7
فردوس,4.7
رویان,4.7
زابل,4.7
مهریز,4.7
بیرجند,4.7
طبس,4.7
درگز,4.699999999999999
نمک آبرود,4.695
بیدخون,4.69
رامسر,4.69
ماسال,4.69
اسالم,4.69
رود سر,4.69
کلارآباد,4.69
خوانسار,4.6850000000000005
بوشهر,4.675
پل سفید,4.675
مرودشت,4.67
ایلام,4.67
قائم شهر,4.67
آبیک,4.665
تنکابن,4.665
شهرکرد,4.665
سرخ رود,4.66
جزیره هرمز,4.66
آبگرم لاریجان,4.66
تالش,4.66
ماسوله,4.66
متل قو(سلمان شهر),4.66
آزاد شهر,4.65
بابل,4.65
صومعه سرا,4.65
بروجرد,4.65
رستم آباد,4.640000000000001
بندرانزلی,4.64
فسا,4.64
محلات,4.64
بهار,4.635
ایذه,4.63
آباده,4.63
بانه,4.63
چالوس,4.63
بهشهر,4.625
علی آباد کتول,4.62
چمخاله,4.62
سواد کوه,4.62
مهدیشهر,4.619999999999999
شمشک,4.615
کاشان,4.615
رودبار,4.605
نور,4.605
چلگرد,4.605
رشت,4.605
منجیل,4.6
ماهان,4.6
نطنز,4.6
چابکسر,4.6
لردگان,4.6
شیراز,4.6
عباس آباد,4.6
یزد,4.6
نیر,4.6
گلپایگان,4.6
بوکان,4.6
گالیکش,4.6
بندرعباس,4.6
جواهرده,4.6
کوثر,4.6
بابلسر,4.6
کنگان,4.6
باب انارخفر,4.6
دماوند,4.6
تکاب,4.6
اندیشه,4.6
الموت,4.6
گلوگاه,4.6
رامیان,4.6
رضوان شهر,4.6
آستانه اشرفیه,4.6
آشخانه,4.6
کرمان,4.6
کیش,4.6
گناوه,4.6
زاهدان,4.6
گناباد,4.6
محمود آباد,4.595
بم,4.59
کرج,4.585
آمل,4.574999999999999
کرمانشاه,4.57
خرم آباد,4.57
لار,4.57
آستارا,4.57
لاهیجان,4.57
فریدون کنار,4.56
خمین,4.56
اردبیل,4.55
تنگستان,4.55
کلیبر,4.55
قشم,4.54
اصفهان,4.535
بسطام,4.53
هشتگرد,4.53
کردان,4.53
جلفا,4.53
گرگان,4.53
ملایر,4.525
بروجن,4.52
شاهرود,4.52
رودهن,4.51
خواف,4.5
نایین,4.5
زیباکنار,4.5
عسلویه,4.5
ساری,4.5
ارومیه,4.49
شهریار,4.49
دیزین,4.49
خوی,4.49
سمنان,4.484999999999999
طالقان,4.48
ماهدشت,4.47
میبد,4.47
قم,4.47
همدان,4.46
گرمسار,4.46
دزفول,4.45
جویبار,4.45
تبریز,4.44
تهران,4.44
ارژن,4.4399999999999995
لواسان,4.4350000000000005
نوشهر,4.4350000000000005
سی سخت,4.4350000000000005
مشگین شهر,4.42
هرسین,4.4
کلاله,4.4
یاسوج,4.4
سنندج,4.4
جیرفت,4.4
دهاقان,4.4
ملارد,4.4
بجنورد,4.4
سامان,4.4
فیروزکوه,4.4
جهرم,4.4
دیلم,4.4
سلطانیه,4.375
اراک,4.36
مشهد,4.35
باغ بهادران,4.35
سرعین,4.335
چابهار,4.324999999999999
ماکو,4.31
شوش,4.300000000000001
دنا,4.275
آبادان,4.255000000000001
زنجان,4.22
تیران,4.2
