city,int_part
سبزوار,84.33333333333333
قلات,44.25
اولسبلنگاه,43.904761904761905
سراگاه,37.34615384615385
آبیک,33.666666666666664
سقالکسار,31.15
شالما,31.096774193548388
پالنگان,30.666666666666668
بیجار,30.0
شازند,27.0
ابیانه,24.428571428571427
جوارم,24.22222222222222
آبسرد,23.62962962962963
فیلبند,23.559322033898304
ورمیه,23.467532467532468
سرولات,23.096774193548388
خزرشهر,23.0
قزوین,21.857142857142858
الموت,20.83783783783784
سرعین,20.228571428571428
طاسکوه,20.144736842105264
گردنه حیران,19.727272727272727
طالقان,19.363636363636363
بانه,19.2
جاده اسالم,19.028169014084508
فیروزکوه,19.0
کوچصفهان,18.22222222222222
حلیمه جان,18.2
قلعه رودخان,18.049586776859503
زیارت,17.785714285714285
قمصر,17.428571428571427
اسکو,17.25
چمستان,17.076923076923077
گیسوم,17.054347826086957
کندوان,17.048780487804876
ماهدشت,17.03125
خدابنده,17.0
امامزاده ابراهیم شفت,16.833333333333332
نیر,16.333333333333332
کیاشهر,16.29824561403509
گرگان,15.677018633540373
چالوس,15.385964912280702
ماسوله,15.273972602739725
دیزین (آسارا),15.25
لفور,15.209424083769633
چهارباغ,15.17953667953668
سیاهکل,15.03125
ایزدشهر,15.020833333333334
شیرگاه,15.0
سرخرود,14.965384615384615
فردیس,14.9
دامغان,14.764705882352942
لاهیجان,14.656028368794326
چمخاله,14.629213483146067
نمک آبرود,14.58
فریدون کنار,14.569060773480663
بابلکنار,14.49390243902439
رشت,14.493055555555555
بندر انزلی,14.470027247956404
گنبد کاووس,14.333333333333334
کرج,14.083333333333334
سراوان,14.048543689320388
مرزن آباد,13.947368421052632
رستم آباد,13.814814814814815
سهیلیه,13.572916666666666
همدان,13.510204081632653
کوهسار,13.45945945945946
محمودآباد,13.130252100840336
رامسر,13.126475548060709
چابکسر,13.094202898550725
آزادشهر,13.0
کوهدشت,13.0
کردان,12.893333333333333
شاهرود,12.882352941176471
کرمانشاه,12.821428571428571
باغ بهادران,12.789473684210526
بابلسر,12.71689497716895
اربه کله,12.7
دیلم,12.555555555555555
اصفهان,12.521384928716904
سوادکوه,12.482905982905983
متل قو,12.476987447698745
خوانسار,12.421052631578947
ماسال,12.410994764397905
ملایر,12.4
اشکورات,12.3
تهران,12.260416666666666
قائم شهر,12.126984126984127
مرودشت,12.05
کیش,12.01923076923077
خمین,12.0
محمدشهر,12.0
ساوجبلاغ,11.9009009009009
آستارا,11.879432624113475
ملارد,11.855072463768115
آلاشت,11.80952380952381
فردوس,11.8
شاندرمن,11.793427230046948
زیباکنار,11.724137931034482
فشم,11.565217391304348
رویان,11.461538461538462
شمشک,11.368421052631579
لاویج,11.166666666666666
شیرود,11.129310344827585
شهریار,11.0
فرح آباد,10.715686274509803
تبریز,10.708860759493671
علی آباد,10.651162790697674
جنگل دالخانی,10.51923076923077
استخرگاه,10.411764705882353
نور,10.305732484076433
دیلمان,10.245283018867925
افراتخته,10.235294117647058
خمام,10.168067226890756
جاده ماسوله,10.1625
اورامان تخت,10.148148148148149
نوشهر,10.123711340206185
قشم,10.106976744186046
مریوان,10.090909090909092
مهاباد,10.083333333333334
تنکابن,10.073089700996677
مشکین‌دشت,10.0
نظرآباد,10.0
نیشابور,10.0
جواهرده,9.915492957746478
خلخال,9.86111111111111
چادگان,9.833333333333334
پل سفید,9.82857142857143
گلوگاه,9.8
بروجرد,9.75
بروجن,9.75
قم,9.673267326732674
بندر خمیر,9.666666666666666
رودبار,9.55421686746988
لنگرود,9.547169811320755
شیراز,9.295315682281059
کلیبر,9.285714285714286
نمین,9.125
چابهار,9.11111111111111
سیرجان,9.0
بندر ترکمن,9.0
نشتارود,8.876543209876543
ارومیه,8.85
تنگستان,8.615384615384615
رودسر,8.61
زیرآب,8.597938144329897
فلاورجان,8.545454545454545
سپیدان,8.533333333333333
رینه لاریجان,8.5
اردبیل,8.392857142857142
لواسان,8.294117647058824
املش,8.120689655172415
کاشان,8.073417721518988
کازرون,8.0
سمنان,8.0
ازنا,8.0
دریاکنار,8.0
زنجان,8.0
رودهن,7.833333333333333
ساری,7.747826086956522
بهشهر,7.744827586206896
مشگین‌شهر,7.695652173913044
مشهد,7.657894736842105
خرم‌آباد,7.622950819672131
عسلویه,7.6
تالش,7.544303797468355
گناوه,7.514285714285714
اسالم,7.48019801980198
کرمان,7.465116279069767
کلاردشت,7.357466063348416
رامیان,7.170212765957447
بندر عباس,7.134615384615385
اراک,7.090909090909091
کلاچای,7.083333333333333
یزد,7.057142857142857
بیله‌سوار,7.0
دیر,7.0
چیتاب,7.0
بندر گز,6.894736842105263
جلفا,6.869565217391305
کلارآباد,6.821428571428571
دورود,6.75
خوی,6.7272727272727275
کبودرآهنگ,6.7272727272727275
اهواز,6.611111111111111
فومن,6.6
کنگان,6.6
یاسوج,6.586206896551724
مینودشت,6.478260869565218
دماوند,6.472222222222222
سلین,6.428571428571429
هرمز,6.387096774193548
لیسار,6.333333333333333
رفسنجان,6.25
اردکان,6.25
شاندیز طرقبه,6.188405797101449
شهرکرد,6.1875
هشتگرد,6.142857142857143
رضوانشهر,6.131578947368421
جوانرود,6.117647058823529
بوشهر,6.113207547169812
ابوزیدآباد,6.086956521739131
دزفول,6.043478260869565
شبستر,6.0
مراغه,5.75
بم,5.75
عباس آباد,5.711111111111111
بندر لنگه,5.666666666666667
آمل,5.516129032258065
میانه,5.5
سردشت,5.5
محلات,5.428571428571429
سوباتان,5.428571428571429
کویر مرنجاب,5.416666666666667
ایذه,5.411764705882353
صومعه‌سرا,5.386666666666667
بجنورد,5.384615384615385
پاوه,5.338709677419355
میبد,5.3076923076923075
کلاله,5.2727272727272725
آستانه اشرفیه,5.25
ماکو,5.222222222222222
کامیاران,5.2
جهرم,5.2
بندر ماهشهر,5.0
اردستان,5.0
کوهرنگ,5.0
درگهان,5.0
کردکوی,5.0
زاهدان,5.0
هجیج,4.961538461538462
مانه و سملقان,4.625
هرسین,4.6
نایین,4.545454545454546
آبادان,4.545454545454546
بوئین‌زهرا,4.5
سنندج,4.392857142857143
ایلام,4.2727272727272725
شفت,4.264900662251655
درگز,4.2
قروه,4.2
سی‌سخت,4.1923076923076925
مهدی‌شهر,4.136363636363637
طبس,4.125
سامان,4.125
کلات,4.1
پارسیان,4.055555555555555
قروق,4.0
نکا,4.0
دلیجان,4.0
گلپایگان,3.7777777777777777
کوثر,3.75
باغ‌ملک,3.6666666666666665
پردیس,3.6666666666666665
بابل,3.62
جاده چالوس,3.6153846153846154
نطنز,3.5
جم,3.5
شوشتر,3.4285714285714284
تکاب,3.4285714285714284
شهرضا,3.3333333333333335
کویر مصر - خور و بیابانک,3.2
دره‌شهر,3.1666666666666665
پاسارگاد,3.125
نجف‌آباد,3.0
بهاباد,3.0
ری,3.0
سروآباد,3.0
اقلید,3.0
بناب,3.0
برخوار,3.0
سمیرم,2.813953488372093
پاکدشت,2.8
جزیره هنگام,2.7142857142857144
تفرش,2.6666666666666665
گرمدره,2.6666666666666665
کنارک,2.5
شمیرانات,2.5
بافت,2.5
سرخه,2.3636363636363638
جاسک,2.25
ورامین,2.25
شاهین شهر,2.2
جویبار,2.142857142857143
رباط‌کریم,2.0
مسجد سلیمان,2.0
شهر بابک,2.0
لارستان,2.0
تفت,2.0
شوش,2.0
آباده,1.8666666666666667
تربت حیدریه,1.8
استانبول,1.7692307692307692
گرمسار,1.7142857142857142
نهاوند,1.6666666666666667
لامرد,1.6666666666666667
بهار,1.6666666666666667
الیگودرز,1.6
اردل,1.6
مهریز,1.5185185185185186
آران و بیدگل,1.3333333333333333
ارسنجان,1.3333333333333333
ورزنه,1.2173913043478262
اسدآباد,1.2
چناران,1.1
ساوه,1.0909090909090908
