city,int_part
طالقان,83.61904761904762
دیزین,59.6
شمشک,34.0
دماوند,31.859649122807017
کرج,31.579545454545453
کردان,27.001745200698082
محمود آباد,25.079787234042552
لواسان,25.0
دورود,22.0
اصفهان,21.555555555555557
رامسر,20.853658536585368
چالوس,20.526923076923076
رشت,20.191558441558442
خمین,20.0
ایزدشهر,19.763157894736842
باغ بهادران,18.43243243243243
نمک آبرود,18.338709677419356
فشم,18.321428571428573
رویان,17.944444444444443
کیش,17.6875
ملایر,16.0
لاهیجان,15.915094339622641
نور,15.795081967213115
بانه,15.0
گرگان,14.707317073170731
تهران,14.168701442841288
ماسال,14.164583333333333
خوانسار,14.142857142857142
کرمانشاه,14.071428571428571
سرخ رود,14.036496350364963
رود سر,13.64
اردبیل,13.52
نوشهر,13.486301369863014
قائم شهر,13.463414634146341
فریدون کنار,13.435294117647059
بندرانزلی,13.384146341463415
بابلسر,13.220125786163521
همدان,12.686274509803921
ماهدشت,12.529411764705882
فومن,12.471590909090908
شهریار,12.272727272727273
چلگرد,12.25
ساری,12.153846153846153
کاشان,11.915032679738562
آستارا,11.700934579439252
نشتارود,11.681818181818182
تنکابن,11.628048780487806
سواد کوه,11.547703180212014
شیراز,11.506711409395972
خمام,11.48
تبریز,11.4
رودهن,11.070422535211268
فیروزکوه,11.028571428571428
آبگرم لاریجان,11.0
چابکسر,10.553571428571429
یزد,10.475409836065573
کلیبر,10.227272727272727
شاندیز,10.222222222222221
شهرکرد,10.166666666666666
قشم,10.083870967741936
متل قو(سلمان شهر),10.083333333333334
کلاچای,9.615384615384615
بندر گز,9.5
کلاردشت,9.435294117647059
دامغان,9.23076923076923
زنجان,9.095238095238095
چمخاله,9.0
کارم,9.0
بندرعباس,8.941176470588236
لنگرود,8.85
محلات,8.785714285714286
مشهد,8.646239554317548
سیاهکل,8.258064516129032
سمنان,8.25
تالش,8.191275167785236
رودبار,8.057692307692308
بهشهر,8.047619047619047
علی آباد کتول,8.033898305084746
بندر کیاشهر,8.0
ایلام,7.6
گناوه,7.555555555555555
مینو دشت,7.5
صومعه سرا,7.5
بروجن,7.333333333333333
دزفول,7.3125
مشگین شهر,7.3125
کرمان,7.238095238095238
جزیره هرمز,7.222222222222222
ارومیه,7.136363636363637
سرعین,7.134146341463414
مهاباد,7.125
جواهرده,7.105263157894737
بابل,7.088235294117647
بومهن,7.0
لنجان,7.0
گرمسار,7.0
کنگان,7.0
بیدخون,7.0
اسالم,7.0
خرم آباد,6.783783783783784
آمل,6.729166666666667
شفت,6.695652173913044
زاهدان,6.666666666666667
نایین,6.5
کندوان,6.461538461538462
شاهرود,6.431034482758621
خوی,6.4
کامیاران,6.333333333333333
پاوه,6.317073170731708
نیشابور,6.25
بوشهر,6.138888888888889
قم,6.098360655737705
کوثر,6.0
آبادان,5.9
رضوان شهر,5.878378378378378
سمیرم,5.851851851851852
سامان,5.823529411764706
جلفا,5.7727272727272725
ماسوله,5.760869565217392
اراک,5.714285714285714
زیباکنار,5.65
ساوجبلاغ,5.535714285714286
خلخال,5.5
پل سفید,5.375
کلاله,5.25
رامیان,5.0476190476190474
فسا,5.0
بوئین زهرا,5.0
بم,5.0
بروجرد,5.0
سنندج,5.0
ایذه,5.0
اردل,5.0
الموت,4.935483870967742
مریوان,4.925925925925926
عباس آباد,4.909090909090909
چادگان,4.818181818181818
اقلید,4.8
بسطام,4.666666666666667
اهواز,4.6
بهبهان,4.5
سی سنگان,4.428571428571429
جوانرود,4.333333333333333
صحنه,4.333333333333333
نجف آباد,4.25
پارسیان,4.1875
رستم آباد,4.178571428571429
گلوگاه,4.111111111111111
گالیکش,4.076923076923077
سبزوار,4.0
جویبار,4.0
گناباد,4.0
ازنا,4.0
سر دشت,4.0
فلاورجان,4.0
ماکو,4.0
سلطانیه,3.8333333333333335
مهدیشهر,3.7777777777777777
کلارآباد,3.769230769230769
رفسنجان,3.75
میبد,3.727272727272727
فردوس,3.6666666666666665
ابهر,3.6
شوشتر,3.6
نمین,3.588235294117647
نطنز,3.5555555555555554
ملارد,3.5238095238095237
مشکین دشت,3.5
آستانه اشرفیه,3.466666666666667
