city,int_part
قلات,32.0
بیجار,30.0
شازند,27.0
خزرشهر,23.0
نیر,21.0
سقالکسار,21.0
قمصر,19.0
خدابنده,17.0
اولسبلنگاه,17.0
پالنگان,16.0
بانه,15.0
ملایر,14.0
حلیمه جان,14.0
زیارت,14.0
شالما,14.0
کوهدشت,13.0
جوارم,13.0
آزادشهر,13.0
ابیانه,13.0
فیروزکوه,13.0
دیلم,12.0
خمین,12.0
کندوان,12.0
بروجن,11.5
مرودشت,11.5
سرعین,11.5
دیزین (آسارا),11.5
فردوس,11.0
دامغان,10.0
مهاباد,10.0
بروجرد,10.0
الموت,10.0
گنبد کاووس,10.0
آبسرد,10.0
مشکین‌دشت,10.0
کوچصفهان,9.0
ماسوله,9.0
فردیس,9.0
گردنه حیران,9.0
کیاشهر,9.0
سرولات,9.0
قائم شهر,9.0
سیرجان,9.0
لاویج,8.5
کرج,8.5
آلاشت,8.0
فیلبند,8.0
جاده اسالم,8.0
چادگان,8.0
طالقان,8.0
ورمیه,8.0
سراگاه,8.0
ازنا,8.0
نمین,8.0
ماهدشت,7.5
امامزاده ابراهیم شفت,7.5
خوانسار,7.0
سپیدان,7.0
بیله‌سوار,7.0
تبریز,7.0
چمخاله,7.0
نظرآباد,7.0
قلعه رودخان,7.0
طاسکوه,7.0
نمک آبرود,7.0
دیر,7.0
خلخال,7.0
چیتاب,7.0
همدان,7.0
ارومیه,7.0
استخرگاه,7.0
گیسوم,7.0
دورود,6.5
مریوان,6.5
کرمانشاه,6.0
فشم,6.0
ملارد,6.0
محمدشهر,6.0
سمنان,6.0
جلفا,6.0
گلوگاه,6.0
شبستر,6.0
فرح آباد,6.0
جهرم,6.0
لواسان,6.0
شاهرود,6.0
شمشک,6.0
تنگستان,6.0
خمام,6.0
آستارا,6.0
چمستان,6.0
بندر لنگه,6.0
سراوان,6.0
بندر گز,6.0
دریاکنار,5.5
کنگان,5.5
میانه,5.5
رفسنجان,5.5
دلیجان,5.0
درگهان,5.0
هرسین,5.0
مراغه,5.0
زنجان,5.0
سیاهکل,5.0
اصفهان,5.0
افراتخته,5.0
ایذه,5.0
اورامان تخت,5.0
سرخرود,5.0
زاهدان,5.0
اهواز,5.0
سلین,5.0
شیرگاه,5.0
لفور,5.0
اراک,5.0
کازرون,5.0
قم,5.0
بندر ماهشهر,5.0
چهارباغ,5.0
بندر عباس,5.0
چالوس,5.0
بندر ترکمن,5.0
تهران,5.0
گناوه,5.0
لاهیجان,5.0
ابوزیدآباد,5.0
فریدون کنار,5.0
باغ بهادران,5.0
زیباکنار,5.0
گرگان,5.0
جنگل دالخانی,5.0
بم,5.0
جوانرود,5.0
عسلویه,5.0
اردستان,5.0
خرم‌آباد,5.0
شهریار,5.0
