city,int_part
پرند,44.0
ماهدشت,15.0
کیاسر,11.0
بندر ترکمن,10.0
قمصر,10.0
اولسبلنگاه,9.0
پردیس,9.0
لشت نشاء,8.5
نیاسر,8.0
کلاچای,8.0
کندوان,7.0
کردان,7.0
برغان,7.0
اسکو,6.0
قم,5.5
سرولات,5.0
چالوس,5.0
هچیرود,4.0
سوباتان,4.0
برزک,4.0
پره‌سر,4.0
لنگرود,4.0
املش,4.0
شیرگاه,4.0
خمام,4.0
فرح آباد,3.5
درگهان,3.5
نمک آبرود,3.0
آستانه اشرفیه,3.0
گرگان,3.0
اصفهان,3.0
باغ بهادران,3.0
محمودآباد,3.0
مرزن آباد,3.0
مشهد,3.0
سهیلیه,3.0
نوشهر,3.0
تهران,3.0
نکا ,3.0
رستم آباد,2.5
عباس آباد,2.5
متل قو,2.5
طرقبه,2.5
قلعه‌رودخان ,2.5
هشتگرد,2.5
قائمشهر,2.0
قشم,2.0
فومن,2.0
کوچصفهان,2.0
لاهیجان,2.0
لفور,2.0
کوهسار,2.0
ماسال,2.0
چابکسر,2.0
کمال شهر,2.0
کلاردشت,2.0
کلارآباد,2.0
صدرا,2.0
یزد,2.0
رامسر,2.0
شاندیز,2.0
علی آباد کتول,2.0
رشت,2.0
رودبار,2.0
تالش,2.0
ساری,2.0
سوادکوه,2.0
انزلی,2.0
بابلسر,2.0
شاهین شهر,2.0
شیراز,2.0
شیرود,2.0
آران و بیدگل,2.0
صومعه‌سرا,2.0
جواهرده,2.0
جویبار,1.5
زیارت,1.5
کیش,1.0
ایزدشهر,1.0
بندر گز,1.0
گرمدره,1.0
بهارستان,1.0
تبریز,1.0
کردکوی,1.0
کاشان,1.0
فریدون کنار,1.0
زیبا کنار,1.0
رضوانشهر,1.0
شهسوار,1.0
شفت,1.0
لیسار,1.0
سرخ رود,1.0
نشتارود,1.0
آتشگاه,1.0
رستم رود,1.0
چادگان,0.0
تفرش,0.0
سنگر,0.0
سه هزار شهسوار ,0.0
کتالم,0.0
اسالم,0.0
دوهزارشهسوار,0.0
دستجرد,0.0
ابوزیدآباد,0.0
دریاکنار,0.0
