city,int_part
دیزین,39.0
طالقان,29.0
دورود,22.0
خمین,20.0
ملایر,16.0
بانه,15.0
کرج,14.0
باغ بهادران,12.0
آبگرم لاریجان,11.0
شهرکرد,10.5
کرمانشاه,10.5
لواسان,10.0
بندرعباس,10.0
دماوند,10.0
کارم,9.0
فشم,9.0
بروجن,9.0
کردان,9.0
نمک آبرود,8.5
شمشک,8.0
کامیاران,8.0
همدان,8.0
محمود آباد,7.5
کیش,7.0
بیدخون,7.0
اسالم,7.0
رامسر,7.0
لنجان,7.0
کنگان,7.0
بم,7.0
گرمسار,7.0
اردبیل,7.0
چالوس,7.0
محلات,6.5
رشت,6.5
کوثر,6.0
ماهدشت,6.0
گرگان,6.0
خوانسار,6.0
اصفهان,6.0
تبریز,6.0
چمخاله,6.0
شهریار,6.0
چلگرد,6.0
ایذه,5.5
لاهیجان,5.5
بندر گز,5.5
قائم شهر,5.0
اردل,5.0
کرمان,5.0
متل قو(سلمان شهر),5.0
رودهن,5.0
کلاردشت,5.0
ماسال,5.0
سمنان,5.0
بوئین زهرا,5.0
لنگرود,5.0
خرم آباد,5.0
رویان,5.0
فومن,5.0
بندرانزلی,5.0
فسا,5.0
کندوان,5.0
اقلید,5.0
خلخال,5.0
آستارا,5.0
رود سر,5.0
آبادان,4.5
بهبهان,4.5
کلیبر,4.5
مینو دشت,4.5
بروجرد,4.5
مهاباد,4.5
فریدون کنار,4.0
نور,4.0
زاهدان,4.0
بسطام,4.0
سواد کوه,4.0
فلاورجان,4.0
سبزوار,4.0
بندر کیاشهر,4.0
چادگان,4.0
بابلسر,4.0
آمل,4.0
شیراز,4.0
ازنا,4.0
ارومیه,4.0
دزفول,4.0
اراک,4.0
سرعین,4.0
جزیره هرمز,4.0
تنکابن,4.0
مشهد,4.0
جویبار,4.0
ساری,4.0
تهران,4.0
سلطانیه,4.0
مریوان,4.0
ماکو,4.0
سرخ رود,4.0
سر دشت,4.0
اهواز,3.5
نشتارود,3.5
عسلویه,3.5
مشکین دشت,3.5
چابکسر,3.5
جوانرود,3.5
زیباکنار,3.5
گناوه,3.0
سپیدان,3.0
کوهدشت,3.0
گلوگاه,3.0
سی سخت,3.0
سیاهکل,3.0
سی سنگان,3.0
سمیرم,3.0
ملارد,3.0
شهرضا,3.0
کردکوی,3.0
شوشتر,3.0
کاشان,3.0
صحنه,3.0
پل سفید,3.0
پاوه,3.0
نیشابور,3.0
قشم,3.0
نوشهر,3.0
نایین,3.0
ماسوله,3.0
میبد,3.0
مهدیشهر,3.0
مرودشت,3.0
علی آباد کتول,3.0
یزد,3.0
خرمشهر,3.0
جواهرده,3.0
جزیره هنگام,3.0
جلفا,3.0
درگز,3.0
ایلام,3.0
خمینی شهر,3.0
تالش,3.0
خدابنده,3.0
بومهن,3.0
خمام,3.0
آستانه اشرفیه,3.0
دامغان,3.0
رستم آباد,3.0
رامیان,3.0
رودبار,3.0
بهار,3.0
الموت,3.0
زنجان,3.0
بدره,3.0
بندر ترکمن,3.0
حاجی آباد,3.0
خوی,3.0
بابک,3.0
رضوان شهر,3.0
بندر لنگه,3.0
آزاد شهر,2.5
مشگین شهر,2.5
کبودر اهنگ,2.5
ایزدشهر,2.5
لشت نشا,2.5
گلپایگان,2.5
پارسیان,2.5
بوشهر,2.5
اسکو,2.5
رفسنجان,2.5
دنا,2.5
بابل,2.5
اندیشه,2.0
املش,2.0
ماهان,2.0
سنندج,2.0
تیران,2.0
تکاب,2.0
تودشک,2.0
سرخه,2.0
کازرون,2.0
بیرجند,2.0
نجف آباد,2.0
بهشهر,2.0
نطنز,2.0
نقده,2.0
بختگان,2.0
چابهار,2.0
هشتگرد,2.0
پاسارگاد,2.0
مهریز,2.0
ورزنه,2.0
صومعه سرا,2.0
گناباد,2.0
شوش,2.0
دیر,2.0
شاهرود,2.0
ابرکوه,2.0
ابهر,2.0
آبیک,2.0
دلیجان,2.0
شاندیز,2.0
طبس,2.0
عباس آباد,2.0
روانسر,2.0
آباده,2.0
فارسان,2.0
فردوس,2.0
اسدآباد,2.0
فریدون شهر,2.0
زابل,2.0
یاسوج,2.0
کلاچای,2.0
کلاله,2.0
ساوجبلاغ,2.0
فیروزکوه,2.0
کلارآباد,2.0
قم,2.0
گالیکش,2.0
گنبد کاووس,1.5
بافق,1.5
خشک بیجار,1.5
آشخانه,1.5
اردکان,1.5
ارژن,1.5
تنگستان,1.5
مراغه,1.5
دره شهر,1.5
لار,1.5
اشکذر,1.0
باب انارخفر,1.0
بجنورد,1.0
کاشمر,1.0
گوهردشت,1.0
پرند,1.0
بردسکن,1.0
ایجرود,1.0
تفرش,1.0
جیرفت,1.0
شاهین دژ,1.0
لامرد,1.0
بشرویه,1.0
قروه,1.0
خواف,1.0
خور و بیابانک,1.0
سامان,1.0
درچه,1.0
ری,1.0
صفاشهر,1.0
شیروان,1.0
دهاقان,1.0
دیلم,1.0
شازند,1.0
شهداد,1.0
شاهدیه,1.0
لردگان,1.0
شفت,1.0
جهرم,1.0
نمین,1.0
هشترود,1.0
هرسین,1.0
نیر,1.0
نی ریز,1.0
بندر ماهشهر,1.0
نهاوند,1.0
بوکان,1.0
جم,1.0
منجیل,1.0
تربت حیدریه,1.0
تفت,1.0
معلم کلایه,1.0
مرند,1.0
مراوه تپه,1.0
ورامین,0.0
قزوین,0.0
آران و بیدگل,0.0
دیواندره,0.0
طرقبه,0.0
فریدن,0.0
ساوه,0.0
